id,value
"703","0"
"704","0"
"705","0"
"706","0"
"707","0"
"708","0"
"709","0"
"71","60"
"710","0"
"711","0"
"712","0"
"713","0"
"714","0"
"715","0"
"716","0"
"717","0"
"718","0"
"719","0"
"72","57"
"720","0"
"721","0"
"722","0"
"723","0"
"724","0"
"725","0"
"726","0"
"727","0"
"728","0"
"729","0"
"73","63"
"730","0"
"731","0"
"732","0"
"733","0"
"734","0"
"735","0"
"736","0"
"737","0"
"738","0"
"739","0"
"74","48"
"740","0"
"741","0"
"742","0"
"743","0"
"744","0"
"745","0"
"746","0"
"747","0"
"748","0"
"749","0"
"75","64"
"750","0"
"751","0"
"752","0"
"753","0"
"754","0"
"755","0"
"756","0"
"757","0"
"758","0"
"759","0"
"76","55"
"760","0"
"761","0"
"762","0"
"763","0"
"764","0"
"765","0"
"766","0"
"767","0"
"768","0"
"769","0"
"77","41"
"770","0"
"771","0"
"772","0"
"773","0"
"774","0"
"775","0"
"776","0"
"777","0"
"778","0"
"779","0"
"78","46"
"780","0"
"781","0"
"782","0"
"783","0"
"784","0"
"785","0"
"786","0"
"787","0"
"788","0"
"789","0"
"79","55"
"790","0"
"791","0"
"792","0"
"793","0"
"794","0"
"795","0"
"796","0"
"797","0"
"798","0"
"799","0"
"80","51"
"800","0"
"801","0"
"802","0"
"803","0"
"804","0"
"805","0"
"806","0"
"807","0"
"808","0"
"809","0"
"81","52"
"810","0"
"811","0"
"812","0"
"813","0"
"814","0"
"816","57"
"817","56"
"818","44"
"819","65"
"82","57"
"820","64"
"821","46"
"822","46"
"823","49"
"824","49"
"825","61"
"826","51"
"827","57"
"828","44"
"829","59"
"83","55"
"830","54"
"831","57"
"832","46"
"833","45"
"834","63"
"835","52"
"836","44"
"837","45"
"838","54"
"839","54"
"84","55"
"840","57"
"841","58"
"842","39"
"843","53"
"844","52"
"845","60"
"846","60"
"847","53"
"848","63"
"849","54"
"85","60"
"850","62"
"851","61"
"852","46"
"853","56"
"854","52"
"855","52"
"856","47"
"857","51"
"858","48"
"859","46"
"86","57"
"860","48"
"861","56"
"862","61"
"863","50"
"864","49"
"865","48"
"866","55"
"867","46"
"868","55"
"869","57"
"87","62"
"870","63"
"871","49"
"872","47"
"873","49"
"874","60"
"875","48"
"876","50"
"877","52"
"878","62"
"879","61"
"88","54"
"880","58"
"881","5"
"882","65"
"883","56"
"884","57"
"885","54"
"886","51"
"887","54"
"888","50"
"889","46"
"89","51"
"890","60"
"891","55"
"892","50"
"893","52"
"894","48"
"895","60"
"896","51"
"897","57"
"898","50"
"899","51"
"90","47"
"900","36"
"901","56"
"902","59"
"903","54"
"904","49"
"905","53"
"906","48"
"907","45"
"908","53"
"909","45"
"91","50"
"910","64"
"911","56"
"912","55"
"913","61"
"914","51"
"915","47"
"916","49"
"917","47"
"918","68"
"919","54"
"92","58"
"920","45"
"921","61"
"922","48"
"923","52"
"924","47"
"925","50"
"926","51"
"927","58"
"928","58"
"929","50"
"93","47"
"930","56"
"931","62"
"932","55"
"933","59"
"934","48"
"935","54"
"936","56"
"937","62"
"938","48"
"939","52"
"94","49"
"940","50"
"941","50"
"942","47"
"943","54"
"944","49"
"945","48"
"946","53"
"947","61"
"948","67"
"949","53"
"95","57"
"950","58"
"951","47"
"952","62"
"953","57"
"954","49"
"955","53"
"956","53"
"957","58"
"958","45"
"959","52"
"96","45"
"960","61"
"961","50"
"962","53"
"963","42"
"964","65"
"965","57"
"966","52"
"967","60"
"968","50"
"969","50"
"97","193"
"970","51"
"971","55"
"972","65"
"973","49"
"974","54"
"975","62"
"976","51"
"977","62"
"978","57"
"979","57"
"98","52"
"980","56"
"981","48"
"982","61"
"983","58"
"984","54"
"985","46"
"986","57"
"987","45"
"988","50"
"989","37"
"99","60"
"990","53"
"991","49"
"992","53"
"993","47"
"994","47"
"995","69"
"996","52"
"997","46"
"998","53"
"999","49"
